ID,utterance,annotation,list-ID
5,seize janvier . deux mille dix ! [media],"[NULL,NULL,NULL]",1
5,seize janvier . deux mille dix ! [media],"[NULL,NULL,NULL]",2
6,Anaé a ... [media],"[NULL,NULL,NULL]",1
6,Anaé a ... [media],"[NULL,NULL,NULL]",2
7,Marie ? [media],"[NULL,NULL,NULL]",1
7,Marie ? [media],"[NULL,NULL,NULL]",2
8,0. . [media],"[NULL,NULL,NULL]",1
8,0. . [media],"[NULL,NULL,NULL]",2
9,[quote] euh deux six je dirais \<None\> !,"[NULL,NULL,NULL]",1
9,[quote] euh deux six je dirais \<None\> !,"[NULL,NULL,NULL]",2
10,0. . [media],"[NULL,NULL,NULL]",1
10,0. . [media],"[NULL,NULL,NULL]",2
11,[quote] 0. attends attends ...,"[NULL,NULL,NULL]",1
11,[quote] 0. attends attends ...,"[NULL,NULL,NULL]",2
12,non ! [media],"[NULL,NULL,NULL]",1
12,non ! [media],"[NULL,NULL,NULL]",2
13,[quote] août septembre octobre novembre décembre janvier .,"[NULL,NULL,NULL]",1
13,[quote] août septembre octobre novembre décembre janvier .,"[NULL,NULL,NULL]",2
14,euh deux cinq et demi . [media],"[NULL,NULL,NULL]",1
14,euh deux cinq et demi . [media],"[NULL,NULL,NULL]",2
15,non c'est trois cinq et demi ! [media],"[NULL,NULL,NULL]",1
15,non c'est trois cinq et demi ! [media],"[NULL,NULL,NULL]",2
16,[quote] trois cinq et demi pardon .,"[NULL,NULL,NULL]",1
16,[quote] trois cinq et demi pardon .,"[NULL,NULL,NULL]",2
17,mon dieu \<None\> ! [media],"[NULL,NULL,NULL]",1
17,mon dieu \<None\> ! [media],"[NULL,NULL,NULL]",2
18,[quote] 0. .,"[NULL,NULL,NULL]",1
18,[quote] 0. .,"[NULL,NULL,NULL]",2
19,0. je croyais que tu me faisais une blague quand t as dit deux six ! [media],"[NULL,NULL,NULL]",1
19,0. je croyais que tu me faisais une blague quand t as dit deux six ! [media],"[NULL,NULL,NULL]",2
20,[quote] 0. non non !,"[NULL,NULL,NULL]",1
20,[quote] 0. non non !,"[NULL,NULL,NULL]",2
21,0. . [media],"[NULL,NULL,NULL]",1
21,0. . [media],"[NULL,NULL,NULL]",2
22,[quote] c'est juste que je suis fatiguée !,"[NULL,NULL,NULL]",1
22,[quote] c'est juste que je suis fatiguée !,"[NULL,NULL,NULL]",2
23,0. . trois cinq . [media],"[NULL,NULL,NULL]",1
23,0. . trois cinq . [media],"[NULL,NULL,NULL]",2
24,et il est ... [media],"[NULL,NULL,NULL]",1
24,et il est ... [media],"[NULL,NULL,NULL]",2
25,[quote] quelle heure ? [media],"[NULL,NULL,NULL]",1
25,[quote] quelle heure ? [media],"[NULL,NULL,NULL]",2
26,dix heures cinquante quatre . [media],"[NULL,NULL,NULL]",1
26,dix heures cinquante quatre . [media],"[NULL,NULL,NULL]",2
27,0. . [media],"[NULL,NULL,NULL]",1
27,0. . [media],"[NULL,NULL,NULL]",2
28,[quote] [quote] très exactement .,"[NULL,NULL,NULL]",1
28,[quote] [quote] très exactement .,"[NULL,NULL,NULL]",2
29,[quote] presque onze heures .,"[NULL,NULL,NULL]",1
29,[quote] presque onze heures .,"[NULL,NULL,NULL]",2
30,Anaé est-ce que pour commencer tu voudrais bien juste chanter les légumes à . à Aliyah ? [media],"[NULL,NULL,NULL]",1
30,Anaé est-ce que pour commencer tu voudrais bien juste chanter les légumes à . à Aliyah ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
31,[quote] ah ouais !,"[NULL,NULL,NULL]",1
31,[quote] ah ouais !,"[NULL,NULL,NULL]",2
32,non ! [media],"[NULL,NULL,NULL]",1
32,non ! [media],"[NULL,NULL,NULL]",2
33,allez ! [media],"[NULL,NULL,NULL]",1
33,allez ! [media],"[NULL,NULL,NULL]",2
34,[quote] non . t as pas envie ?,"[NULL,NULL,NULL]",1
34,[quote] non . t as pas envie ?,"[NULL,NULL,NULL]",2
35,[quote] 0. .,"[NULL,NULL,NULL]",1
35,[quote] 0. .,"[NULL,NULL,NULL]",2
36,0. non ! [media],"[NULL,NULL,NULL]",1
36,0. non ! [media],"[NULL,NULL,NULL]",2
37,[quote] mais je connais pas du tout \<interruption\>,"[NULL,NULL,NULL]",1
37,[quote] mais je connais pas du tout \<interruption\>,"[NULL,NULL,NULL]",2
38,[quote] ou euh . ou la poésie du bonhomme !,"[NULL,NULL,NULL]",1
38,[quote] ou euh . ou la poésie du bonhomme !,"[NULL,NULL,NULL]",2
39,ah non pas d'abord ! [media],"[NULL,NULL,NULL]",1
39,ah non pas d'abord ! [media],"[NULL,NULL,NULL]",2
40,yyy \<interruption\> [media],"[NULL,NULL,NULL]",1
40,yyy \<interruption\> [media],"[NULL,NULL,NULL]",2
41,[quote] oh pas d'abord !,"[NULL,NULL,NULL]",1
41,[quote] oh pas d'abord !,"[NULL,NULL,NULL]",2
42,[quote] ah . un peu plus tard ?,"[NULL,NULL,NULL]",1
42,[quote] ah . un peu plus tard ?,"[NULL,NULL,NULL]",2
43,d'abo ... [media],"[NULL,NULL,NULL]",1
43,d'abo ... [media],"[NULL,NULL,NULL]",2
44,[quote] 0. .,"[NULL,NULL,NULL]",1
44,[quote] 0. .,"[NULL,NULL,NULL]",2
45,yyy . [media],"[NULL,NULL,NULL]",1
45,yyy . [media],"[NULL,NULL,NULL]",2
46,\<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
46,\<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
47,ah bah vas_y . vas_y vas_y . [media],"[NULL,NULL,NULL]",1
47,ah bah vas_y . vas_y vas_y . [media],"[NULL,NULL,NULL]",2
48,[quote] ah bah bien_sûr !,"[NULL,NULL,NULL]",1
48,[quote] ah bah bien_sûr !,"[NULL,NULL,NULL]",2
49,0. . [media],"[NULL,NULL,NULL]",1
