ID,utterance,annotation,list-ID
49,0. . [media],"[NULL,NULL,NULL]",2
50,[quote] vas_y .,"[NULL,NULL,NULL]",1
50,[quote] vas_y .,"[NULL,NULL,NULL]",2
51,0. . [media],"[NULL,NULL,NULL]",1
51,0. . [media],"[NULL,NULL,NULL]",2
52,[quote] pe \<None\> ...,"[NULL,NULL,NULL]",1
52,[quote] pe \<None\> ...,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
53,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
53,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
54,[quote] avec ... [media],"[NULL,NULL,NULL]",1
54,[quote] avec ... [media],"[NULL,NULL,NULL]",2
55,[quote] les jouets \<None\> ... [media],"[NULL,NULL,NULL]",1
55,[quote] les jouets \<None\> ... [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
56,[quote] familiers ... [media],"[NULL,NULL,NULL]",1
56,[quote] familiers ... [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
57,[quote] 0. .,"[NULL,NULL,NULL]",1
57,[quote] 0. .,"[NULL,NULL,NULL]",2
58,jouets familiers \<None\> n' oublie pas \<None\> ... [media],"[NULL,NULL,NULL]",1
58,jouets familiers \<None\> n' oublie pas \<None\> ... [media],"[PAR-Follow-up:Repeat-answer,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]",2
59,[quote] pas ...,"[NULL,NULL,NULL]",1
59,[quote] pas ...,"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
60,[quote] \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
60,[quote] \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
61,[quote] mon petit \<None\> ... [media],"[NULL,NULL,NULL]",1
61,[quote] mon petit \<None\> ... [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
62,[quote] \<None\> \<None\> \<None\> ...,"[NULL,NULL,NULL]",1
62,[quote] \<None\> \<None\> \<None\> ...,"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
63,[quote] \<None\> ! [media],"[NULL,NULL,NULL]",1
63,[quote] \<None\> ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]",2
64,[quote] !,"[NULL,NULL,NULL]",1
64,[quote] !,"[NULL,NULL,NULL]",2
65,et alors il a pas oublié ? [media],"[NULL,NULL,NULL]",1
65,et alors il a pas oublié ? [media],"[NULL,NULL,NULL]",2
66,0. . [media],"[NULL,NULL,NULL]",1
66,0. . [media],"[NULL,NULL,NULL]",2
67,[quote] qu'est-ce qu'il t'a amené le père ?,"[NULL,NULL,NULL]",1
67,[quote] qu'est-ce qu'il t'a amené le père ?,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
68,yyy . [media],"[NULL,NULL,NULL]",1
68,yyy . [media],"[CHI-Response:No-label,NULL,NULL]",2
69,il t'a amené plein de cadeaux hein ! [media],"[NULL,NULL,NULL]",1
69,il t'a amené plein de cadeaux hein ! [media],"[PAR-Follow-up:Add-info,NULL,NULL]",2
70,0. . [media],"[NULL,NULL,NULL]",1
70,0. . [media],"[NULL,NULL,NULL]",2
71,tu veux tu veux bien dire la poésie du bonhomme ?,"[NULL,NULL,NULL]",1
71,tu veux tu veux bien dire la poésie du bonhomme ?,"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
72,0. . [media],"[NULL,NULL,NULL]",1
72,0. . [media],"[NULL,NULL,NULL]",2
73,\<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
73,\<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
74,oh bah non ! [media],"[NULL,NULL,NULL]",1
74,oh bah non ! [media],"[NULL,NULL,NULL]",2
75,\<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
75,\<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
76,0. . [media],"[NULL,NULL,NULL]",1
76,0. . [media],"[NULL,NULL,NULL]",2
77,[quote] et peut-être que ton bébé il a faim hein quand_même . regarde .,"[NULL,NULL,NULL]",1
77,[quote] et peut-être que ton bébé il a faim hein quand_même . regarde .,"[NULL,NULL,NULL]",2
78,non ! [media],"[NULL,NULL,NULL]",1
78,non ! [media],"[NULL,NULL,NULL]",2
79,j'ai l'impression qu'il a faim non \<None\> ? [media],"[NULL,NULL,NULL]",1
79,j'ai l'impression qu'il a faim non \<None\> ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
80,yyy . [media],"[NULL,NULL,NULL]",1
80,yyy . [media],"[NULL,NULL,NULL]",2
81,non ? [media],"[NULL,NULL,NULL]",1
81,non ? [media],"[NULL,NULL,NULL]",2
82,non ? [media],"[NULL,NULL,NULL]",1
82,non ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
83,0. . [media],"[NULL,NULL,NULL]",1
83,0. . [media],"[NULL,NULL,NULL]",2
84,[quote] il a déjà mangé ?,"[NULL,NULL,NULL]",1
84,[quote] il a déjà mangé ?,"[NULL,NULL,NULL]",2
85,yyy ! [media],"[NULL,NULL,NULL]",1
85,yyy ! [media],"[NULL,NULL,NULL]",2
86,[quote] parce que regarde là il y a du bon poulet . qu'est-ce qu' y a d' autre ?,"[NULL,NULL,NULL]",1
86,[quote] parce que regarde là il y a du bon poulet . qu'est-ce qu' y a d' autre ?,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
87,non mais je veux chanter la poésie de petit papa ! [media],"[NULL,NULL,NULL]",1
87,non mais je veux chanter la poésie de petit papa ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]",2
88,bah vas_y chante ! [media],"[NULL,NULL,NULL]",1
88,bah vas_y chante ! [media],"[PAR-Follow-up:other,NULL,NULL]",2
89,[quote] ah on a pas fini moi !,"[NULL,NULL,NULL]",1
89,[quote] ah on a pas fini moi !,"[NULL,NULL,NULL]",2
90,euh . n' oublie pas mon \<None\> partir \<None\> ... [media],"[NULL,NULL,NULL]",1
90,euh . n' oublie pas mon \<None\> partir \<None\> ... [media],"[NULL,NULL,NULL]",2
91,[quote] mais avant de partir \<None\> ...,"[NULL,NULL,NULL]",1
91,[quote] mais avant de partir \<None\> ...,"[NULL,NULL,NULL]",2
92,[quote] ...,"[NULL,NULL,NULL]",1
92,[quote] ...,"[NULL,NULL,NULL]",2
93,[quote] il faudra \<None\> ... [media],"[NULL,NULL,NULL]",1
93,[quote] il faudra \<None\> ... [media],"[NULL,NULL,NULL]",2
94,[quote] [quote] ...,"[NULL,NULL,NULL]",1
94,[quote] [quote] ...,"[NULL,NULL,NULL]",2
95,[quote] bien \<None\> ... [media],"[NULL,NULL,NULL]",1
95,[quote] bien \<None\> ... [media],"[NULL,NULL,NULL]",2
96,[quote] \<None\> \<None\> \<None\> \<None\> ...,"[NULL,NULL,NULL]",1
96,[quote] \<None\> \<None\> \<None\> \<None\> ...,"[NULL,NULL,NULL]",2
97,[quote] dehors ... [media],"[NULL,NULL,NULL]",1
97,[quote] dehors ... [media],"[NULL,NULL,NULL]",2
98,[quote] tu vas \<None\> ... [media],"[NULL,NULL,NULL]",1
98,[quote] tu vas \<None\> ... [media],"[NULL,NULL,NULL]",2
99,[quote] avoir ... [media],"[NULL,NULL,NULL]",1
99,[quote] avoir ... [media],"[NULL,NULL,NULL]",2
100,[quote] si froid \<None\> ... [media],"[NULL,NULL,NULL]",1
100,[quote] si froid \<None\> ... [media],"[NULL,NULL,NULL]",2
101,[quote] c'est un \<None\> ... [media],"[NULL,NULL,NULL]",1
101,[quote] c'est un \<None\> ... [media],"[NULL,NULL,NULL]",2
102,0. . [media],"[NULL,NULL,NULL]",1
102,0. . [media],"[NULL,NULL,NULL]",2
103,[quote] [quote] peu \<None\> .,"[NULL,NULL,NULL]",1
103,[quote] [quote] peu \<None\> .,"[NULL,NULL,NULL]",2
104,[quote] peu \<None\> ...,"[NULL,NULL,NULL]",1
104,[quote] peu \<None\> ...,"[NULL,NULL,NULL]",2
105,[quote] à \<None\> ...,"[NULL,NULL,NULL]",1
105,[quote] à \<None\> ...,"[NULL,NULL,NULL]",2
106,[quote] cause ... [media],"[NULL,NULL,NULL]",1
106,[quote] cause ... [media],"[NULL,NULL,NULL]",2
107,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
107,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
108,[quote] à cause de moi \<None\> !,"[NULL,NULL,NULL]",1
108,[quote] à cause de moi \<None\> !,"[NULL,NULL,NULL]",2
109,bravo ! [media],"[NULL,NULL,NULL]",1
109,bravo ! [media],"[NULL,NULL,NULL]",2
110,[quote] 0. .,"[NULL,NULL,NULL]",1
110,[quote] 0. .,"[NULL,NULL,NULL]",2
111,\<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
111,\<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
112,[quote] xxx .,"[NULL,NULL,NULL]",1
112,[quote] xxx .,"[NULL,NULL,NULL]",2
113,le bonhomme \<None\> . [media],"[NULL,NULL,NULL]",1
113,le bonhomme \<None\> . [media],"[NULL,NULL,NULL]",2
114,alors ! [media],"[NULL,NULL,NULL]",1
114,alors ! [media],"[NULL,NULL,NULL]",2
115,[quote] alors ...,"[NULL,NULL,NULL]",1
115,[quote] alors ...,"[NULL,NULL,NULL]",2
116,pousse toi Aliyah \<None\> . [media],"[NULL,NULL,NULL]",1
116,pousse toi Aliyah \<None\> . [media],"[NULL,NULL,NULL]",2
117,0. .,"[NULL,NULL,NULL]",1
117,0. .,"[NULL,NULL,NULL]",2
118,yyy . [media],"[NULL,NULL,NULL]",1
118,yyy . [media],"[NULL,NULL,NULL]",2
119,attends parce que papa il va faire du bruit là . hop \<None\> ! [media],"[NULL,NULL,NULL]",1
119,attends parce que papa il va faire du bruit là . hop \<None\> ! [media],"[NULL,NULL,NULL]",2
120,il va faire du bruit pis il va faire tout tomber ! [media],"[NULL,NULL,NULL]",1
120,il va faire du bruit pis il va faire tout tomber ! [media],"[NULL,NULL,NULL]",2
121,[quote] 0. .,"[NULL,NULL,NULL]",1
121,[quote] 0. .,"[NULL,NULL,NULL]",2
122,vas_y . c'est la nuit de l'hiver \<None\> ... [media],"[NULL,NULL,NULL]",1
122,vas_y . c'est la nuit de l'hiver \<None\> ... [media],"[NULL,NULL,NULL]",2
123,0. \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
123,0. \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
124,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
124,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
125,[quote] galope ... [media],"[NULL,NULL,NULL]",1
125,[quote] galope ... [media],"[NULL,NULL,NULL]",2
126,0. . [media],"[NULL,NULL,NULL]",1
126,0. . [media],"[NULL,NULL,NULL]",2
127,[quote] [quote] galope un \<None\> ...,"[NULL,NULL,NULL]",1
127,[quote] [quote] galope un \<None\> ...,"[NULL,NULL,NULL]",2
128,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
128,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
129,un grand quoi ? [media],"[NULL,NULL,NULL]",1
129,un grand quoi ? [media],"[NULL,NULL,NULL]",2
130,0. . [media],"[NULL,NULL,NULL]",1
130,0. . [media],"[NULL,NULL,NULL]",2
131,[quote] j'ai pas entendu !,"[NULL,NULL,NULL]",1
131,[quote] j'ai pas entendu !,"[NULL,NULL,NULL]",2
132,0. . [media],"[NULL,NULL,NULL]",1
132,0. . [media],"[NULL,NULL,NULL]",2
133,[quote] un grand \<trail off question\>,"[NULL,NULL,NULL]",1
133,[quote] un grand \<trail off question\>,"[NULL,NULL,NULL]",2
134,xxx . [media],"[NULL,NULL,NULL]",1
134,xxx . [media],"[NULL,NULL,NULL]",2
135,[quote] 0. .,"[NULL,NULL,NULL]",1
135,[quote] 0. .,"[NULL,NULL,NULL]",2
136,[quote] galope un grand homme blanc \<None\> ... [media],"[NULL,NULL,NULL]",1
136,[quote] galope un grand homme blanc \<None\> ... [media],"[NULL,NULL,NULL]",2
137,attends hein . bon je me lève je me lève . [media],"[NULL,NULL,NULL]",1
137,attends hein . bon je me lève je me lève . [media],"[NULL,NULL,NULL]",2
138,0. . [media],"[NULL,NULL,NULL]",1
138,0. . [media],"[NULL,NULL,NULL]",2
139,hop ! [media],"[NULL,NULL,NULL]",1
139,hop ! [media],"[NULL,NULL,NULL]",2
140,c'est la nuit de l'hiver \<None\> ... [media],"[NULL,NULL,NULL]",1
140,c'est la nuit de l'hiver \<None\> ... [media],"[NULL,NULL,NULL]",2
141,xxx \<None\> . [media],"[NULL,NULL,NULL]",1
141,xxx \<None\> . [media],"[NULL,NULL,NULL]",2
142,[quote] galope \<None\> ... [media],"[NULL,NULL,NULL]",1
142,[quote] galope \<None\> ... [media],"[NULL,NULL,NULL]",2
143,[quote] \<None\> \<None\> \<None\> \<None\> . [media],"[NULL,NULL,NULL]",1
143,[quote] \<None\> \<None\> \<None\> \<None\> . [media],"[NULL,NULL,NULL]",2
144,[quote] c'est un \<None\> ... [media],"[NULL,NULL,NULL]",1
144,[quote] c'est un \<None\> ... [media],"[NULL,NULL,NULL]",2
145,[quote] bonhomme ... [media],"[NULL,NULL,NULL]",1
145,[quote] bonhomme ... [media],"[NULL,NULL,NULL]",2
146,[quote] avec \<None\> ... [media],"[NULL,NULL,NULL]",1
146,[quote] avec \<None\> ... [media],"[NULL,NULL,NULL]",2
147,non \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
147,non \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
148,oui ... [media],"[NULL,NULL,NULL]",1
148,oui ... [media],"[NULL,NULL,NULL]",2
149,un grand \<None\> ... [media],"[NULL,NULL,NULL]",1
149,un grand \<None\> ... [media],"[NULL,NULL,NULL]",2
150,[quote] bonhomme ... [media],"[NULL,NULL,NULL]",1
150,[quote] bonhomme ... [media],"[NULL,NULL,NULL]",2
151,xxx . [media],"[NULL,NULL,NULL]",1
151,xxx . [media],"[NULL,NULL,NULL]",2
152,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> .,"[NULL,NULL,NULL]",1
152,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> .,"[NULL,NULL,NULL]",2
153,[quote] 0. .,"[NULL,NULL,NULL]",1
153,[quote] 0. .,"[NULL,NULL,NULL]",2
154,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
154,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
155,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
155,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
156,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
156,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
157,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
157,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
158,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
158,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
159,[quote] \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",1
159,[quote] \<None\> \<None\> \<None\> \<None\> ... [media],"[NULL,NULL,NULL]",2
160,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
160,[quote] \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
161,bravo \<None\> ! [media],"[NULL,NULL,NULL]",1
161,bravo \<None\> ! [media],"[NULL,NULL,NULL]",2
162,[quote] ouais !,"[NULL,NULL,NULL]",1
162,[quote] ouais !,"[NULL,NULL,NULL]",2
163,c'est très bien chérie ! [media],"[NULL,NULL,NULL]",1
163,c'est très bien chérie ! [media],"[NULL,NULL,NULL]",2
164,[quote] c'est super !,"[NULL,NULL,NULL]",1
164,[quote] c'est super !,"[NULL,NULL,NULL]",2
165,0. . [media],"[NULL,NULL,NULL]",1
165,0. . [media],"[NULL,NULL,NULL]",2
166,[quote] c'est une belle histoire hein !,"[NULL,NULL,NULL]",1
166,[quote] c'est une belle histoire hein !,"[NULL,NULL,NULL]",2
167,0. . [media],"[NULL,NULL,NULL]",1
167,0. . [media],"[NULL,NULL,NULL]",2
168,ça raconte l'histoire de quoi ? [media],"[NULL,NULL,NULL]",1
168,ça raconte l'histoire de quoi ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
169,0. . [media],"[NULL,NULL,NULL]",1
169,0. . [media],"[NULL,NULL,NULL]",2
170,[quote] qu'est-ce qu'elle raconte cette poésie c'est l'histoire de qui ?,"[NULL,NULL,NULL]",1
170,[quote] qu'est-ce qu'elle raconte cette poésie c'est l'histoire de qui ?,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
171,du bonhomme ! [media],"[NULL,NULL,NULL]",1
171,du bonhomme ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
172,ouais ... [media],"[NULL,NULL,NULL]",1
172,ouais ... [media],"[PAR-Follow-up:Signal-agreement,NULL,NULL]",2
173,Manu demande à Ael je crois qu'il voulait v avec toi aux bouteilles ! [media],"[NULL,NULL,NULL]",1
173,Manu demande à Ael je crois qu'il voulait v avec toi aux bouteilles ! [media],"[NULL,NULL,NULL]",2
174,bah demande lui pendant que je charge ! [media],"[NULL,NULL,NULL]",1
174,bah demande lui pendant que je charge ! [media],"[NULL,NULL,NULL]",2
175,ouais . [media],"[NULL,NULL,NULL]",1
175,ouais . [media],"[NULL,NULL,NULL]",2
176,attends je vais demande à Ael si il veut aller avec papa . [media],"[NULL,NULL,NULL]",1
176,attends je vais demande à Ael si il veut aller avec papa . [media],"[NULL,NULL,NULL]",2
177,c'est l'histoire de quoi alors tu racontes ? [media],"[NULL,NULL,NULL]",1
177,c'est l'histoire de quoi alors tu racontes ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]",2
178,0. . [media],"[NULL,NULL,NULL]",1
178,0. . [media],"[NULL,NULL,NULL]",2
179,[quote] c'est l'histoire de quoi ?,"[NULL,NULL,NULL]",1
179,[quote] c'est l'histoire de quoi ?,"[NULL,NULL,NULL]",2
180,le bonhomme il lui arrive quoi ? [media],"[NULL,NULL,NULL]",1
180,le bonhomme il lui arrive quoi ? [media],"[NULL,NULL,NULL]",2
181,0. . [media],"[NULL,NULL,NULL]",1
181,0. . [media],"[NULL,NULL,NULL]",2
182,tu sais pas ? [media],"[NULL,NULL,NULL]",1
182,tu sais pas ? [media],"[NULL,NULL,NULL]",2
183,il y a plus de tête ! [media],"[NULL,NULL,NULL]",1
183,il y a plus de tête ! [media],"[NULL,NULL,NULL]",2
184,[quote] bah !,"[NULL,NULL,NULL]",1
184,[quote] bah !,"[NULL,NULL,NULL]",2
185,de quoi ? [media],"[NULL,NULL,NULL]",1
185,de quoi ? [media],"[NULL,NULL,NULL]",2
186,a p de tête ! [media],"[NULL,NULL,NULL]",1
186,a p de tête ! [media],"[NULL,NULL,NULL]",2
187,a p de tête ? [media],"[NULL,NULL,NULL]",1
187,a p de tête ? [media],"[NULL,NULL,NULL]",2
188,non ! [media],"[NULL,NULL,NULL]",1
188,non ! [media],"[NULL,NULL,NULL]",2
189,0. . [media],"[NULL,NULL,NULL]",1
189,0. . [media],"[NULL,NULL,NULL]",2
190,[quote] 0. .,"[NULL,NULL,NULL]",1
190,[quote] 0. .,"[NULL,NULL,NULL]",2
191,0. . [media],"[NULL,NULL,NULL]",1
191,0. . [media],"[NULL,NULL,NULL]",2
192,[quote] qu'est-ce que tu fais ?,"[NULL,NULL,NULL]",1
192,[quote] qu'est-ce que tu fais ?,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
193,[quote] 0. .,"[NULL,NULL,NULL]",1
193,[quote] 0. .,"[NULL,NULL,NULL]",2
194,tu fais ta timide maintenant ? [media],"[NULL,NULL,NULL]",1
194,tu fais ta timide maintenant ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
196,allez . on fait à manger pour le bébé ? [media],"[NULL,NULL,NULL]",1
196,allez . on fait à manger pour le bébé ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
197,0. mais non . [media],"[NULL,NULL,NULL]",1
