ID,utterance,charlie,morgane,list-ID,intersection,charlie_new,morgane_new,agree
10,va tu la tu le gardes le tricycle ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
15,tiens tu prends ça Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
31,papa tu veux que papa il fasse ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
32,papa papa ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
33,oui ! [media],"[PAR-Follow-up:Signal-agreement,NULL,NULL]","[PAR-Follow-up:Signal-agreement,NULL,NULL]",2,PAR-Follow-up:Signal-agreement,PAR-Follow-up:Signal-agreement,PAR-Follow-up:Signal-agreement,1
35,tu fais toi Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
38,tombé Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
46,tu prends ça ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
47,comment ça s'appelle Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
48,comment ça s'appelle ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
