ID,utterance,charlie,morgane,list-ID,intersection,charlie_new,morgane_new,agree
49,hein une voiture ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]","[PAR-Follow-up:Give-response,NULL,NULL]",2,PAR-Follow-up:Give-response,PAR-Follow-up:Give-response,PAR-Follow-up:Give-response,1
50,comment tu dis voiture Adrien ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NA,PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,0
51,hein comment tu dis Adrien voiture ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Non-Information-seeking,0
52,voiture ! [media],"[CHI-Response:Answer:no-explanation-needed,PAR-Follow-up:No-followup,NULL]","[NULL,NULL,NULL]",2,NULL,CHI-Response:Answer:no-explanation-needed,NULL,0
59,comment ça s'appelle comment ça s'appelle ça Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
60,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
61,de quoi ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:other,NULL,NULL]",2,NULL,PAR-Follow-up:Followup-question,PAR-Follow-up:other,0
62,comment tu dis Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
63,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
64,ça veut dire quoi ça ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,No-response+No-follow-up]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
65,oh merde ! [media],"[NULL,NULL,NULL]","[PAR-Follow-up:other,NULL,NULL]",2,NULL,NULL,PAR-Follow-up:other,0
66,tu enlèves ton pantalon Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
69,t'enlèves tes chaussettes Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
71,comment ça s'appelle Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
72,comment est-ce que ça s'appelle ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
73,hein comment ça s'appelle ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
74,vas_y t'enlèves l'autre ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Follow-up:other,PAR-Initiation:Non-Information-seeking,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
77,comment est-ce que ça s'appelle ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
78,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
79,non des chaussettes comment tu dis Adrien ? [media],"[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]","[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Give-response,PAR-Initiation:Non-Information-seeking]",2,PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Signal-disagreement,1
80,yyy . [media],"[CHI-Response:No-label,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,CHI-Response:No-label,NULL,0
81,chaussettes ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,PAR-Follow-up:Give-response,NULL,0
82,oui ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Non-Information-seeking,0
83,comment ça s'appelle ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,No-response+No-follow-up,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
84,tu viens Adrien oh oh oh ! [media],"[PAR-Follow-up:other,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,PAR-Follow-up:other,NULL,0
88,t'enlèves ta couche Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
89,tu vas la mettre à la poubelle ta couche ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
92,allez on attend ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
94,comment ça s'appelle ça Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
95,regarde ! [media],"[PAR-Follow-up:other,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,PAR-Follow-up:other,NULL,0
96,c'est quoi ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
97,bateau ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
98,oui un bateau hop ça s'appelle comment ça ? [media],"[PAR-Follow-up:Signal-agreement,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]","[PAR-Follow-up:Signal-agreement,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]",2,PAR-Follow-up:Signal-agreement,PAR-Follow-up:Signal-agreement,PAR-Follow-up:Signal-agreement,1
99,bateau ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
100,non ça s'appelle un seau ! [media],"[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Give-response,NULL]","[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Give-response,NULL]",2,PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Signal-disagreement,1
101,tu dis Adrien seau ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
104,seau comment tu dis seau ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Non-Information-seeking,0
105,seau ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,CHI-Response:Answer:no-explanation-needed,NULL,0
106,oui seau ! [media],"[PAR-Follow-up:Signal-agreement,PAR-Follow-up:Repeat-answer,NULL]","[NULL,NULL,NULL]",2,NULL,PAR-Follow-up:Signal-agreement,NULL,0
109,et ça regarde c'est quoi ça ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
110,ah tu dis ah ! [media],"[PAR-Follow-up:other,NULL,NULL]","[PAR-Follow-up:other,NULL,NULL]",2,PAR-Follow-up:other,PAR-Follow-up:other,PAR-Follow-up:other,1
114,allo ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
120,aïe aïe ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
128,oh hisse ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
138,tu veux du savon tu fais pipi mon bonhomme ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
144,tu te savonnes ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
147,un autre ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Non-Information-seeking,0
148,tiens ah non non non frotte-toi pas les yeux ça va te faire mal aux yeux après vas_y mets bien la main comme ça ! [media],"[PAR-Follow-up:other,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,PAR-Follow-up:other,NULL,0
155,attends on rince ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
158,allo ? [media],"[CHI-Initiation:Non-information-seeking,NULL,NULL]","[CHI-Initiation:Non-information-seeking,NULL,NULL]",1,CHI-Initiation:Non-information-seeking,CHI-Initiation:Non-information-seeking,CHI-Initiation:Non-information-seeking,1
160,oui ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Non-Information-seeking,0
161,allo ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,CHI-Response:Non-answer:declarative,NULL,0
163,comment ça s'appelle ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
164,bateau ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
165,broum le bateau broum bo bo ! [media],"[PAR-Follow-up:other,NULL,NULL]","[PAR-Follow-up:Repeat-answer,PAR-Follow-up:other,NULL]",2,PAR-Follow-up:other,PAR-Follow-up:other,PAR-Follow-up:other,1
169,et papa ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,PAR-Initiation:Non-Information-seeking,1
171,il est où papa ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
172,papa papa ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,CHI-Response:Answer:non-verbal,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
173,et Adrien comment tu dis Adrien ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,Complex-long]","[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
175,coucou et papy il est où papy ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
176,papy ! [media],"[NULL,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,NULL,NULL,CHI-Response:Non-answer:declarative,0
178,il est où il est à la maison avec mamie ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
179,papy yyy . [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
180,il est avec mamie papy ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
181,papy ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
182,papapi oui ! [media],"[PAR-Follow-up:Repeat-answer,PAR-Follow-up:Signal-agreement,NULL]","[PAR-Follow-up:Signal-agreement,PAR-Follow-up:Repeat-answer,NULL]",2,PAR-Follow-up:Repeat-answer,PAR-Follow-up:Repeat-answer,PAR-Follow-up:Repeat-answer,1
191,et mamie elle est où mamie ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
192,mamie ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
193,elle est à la maison mamie ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
194,papa ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
195,il est où papa oh je le vois pas il est où ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
196,papa ! [media],"[CHI-Response:Non-answer:declarative,CHI-Response:Answer:non-verbal,NULL]","[CHI-Response:Non-answer:declarative,CHI-Response:Answer:non-verbal,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
197,oui il est là ! [media],"[PAR-Follow-up:Signal-agreement,NULL,NULL]","[PAR-Follow-up:Signal-agreement,NULL,NULL]",2,PAR-Follow-up:Signal-agreement,PAR-Follow-up:Signal-agreement,PAR-Follow-up:Signal-agreement,1
198,et tata elle est où ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,NULL,NULL]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
199,tata ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,CHI-Response:Non-answer:declarative,1
200,elle est où tata ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Follow-up:Re-ask-initial-question,PAR-Follow-up:Re-ask-initial-question,PAR-Follow-up:Re-ask-initial-question,1
201,partie ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
202,elle est à sa maison ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]","[PAR-Follow-up:Give-response,NULL,NULL]",2,PAR-Follow-up:Give-response,PAR-Follow-up:Give-response,PAR-Follow-up:Give-response,1
207,et Natacha elle est où Natacha ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Information-seeking:fact-based ,1
208,partie ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
209,et Camille ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
210,parti ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,NULL,CHI-Response:Answer:no-explanation-needed,PAR-Initiation:Information-seeking:fact-based ,0
211,a sa maison ils sont partis et Théodore ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Add-info,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]",2,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,PAR-Follow-up:Followup-question,1
212,parti ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:no-explanation-needed,1
213,oh ben alors ils sont tous partis ! [media],"[PAR-Follow-up:other,NULL,NULL]","[PAR-Follow-up:Add-info,NULL,NULL]",2,NULL,PAR-Follow-up:other,PAR-Follow-up:Add-info,0
214,comment tu dis Camille Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Non-Information-seeking,0
216,mamie et Natacha ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Non-Information-seeking,0
217,parti ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,CHI-Response:Non-answer:declarative,NULL,0
218,comment tu dis Natacha ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,0
219,Natacha . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,CHI-Response:Answer:no-explanation-needed,NULL,0
220,ouh là c'est xxx elle dit cha cha mais là c'est encore xxx . [media],"[PAR-Follow-up:other,NULL,NULL]","[NULL,NULL,NULL]",2,NULL,PAR-Follow-up:other,NULL,0
221,thé et Théodore ? [media],"[NULL,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,NULL,PAR-Initiation:Non-Information-seeking,0
223,comment tu dis comment tu dis Théodore ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,NULL,PAR-Initiation:Information-seeking:fact-based ,PAR-Initiation:Non-Information-seeking,0
