ID,Speaker,utterance,annotation,list-ID
6,OBS,alors on est le dix sept . [media],"[NULL,NULL,NULL]",1
6,OBS,alors on est le dix sept . [media],"[NULL,NULL,NULL]",2
7,CHI,[quote] maman fais attention .,"[NULL,NULL,NULL]",1
7,CHI,[quote] maman fais attention .,"[NULL,NULL,NULL]",2
8,CHI,t as failli faire tomber la lumière . [media],"[NULL,NULL,NULL]",1
8,CHI,t as failli faire tomber la lumière . [media],"[NULL,NULL,NULL]",2
9,MOT,[quote] oui xxx .,"[NULL,NULL,NULL]",1
9,MOT,[quote] oui xxx .,"[NULL,NULL,NULL]",2
10,OBS,ohlàlà .,"[NULL,NULL,NULL]",1
10,OBS,ohlàlà .,"[NULL,NULL,NULL]",2
11,OBS,dix sept janvier deux mille onze . [media],"[NULL,NULL,NULL]",1
11,OBS,dix sept janvier deux mille onze . [media],"[NULL,NULL,NULL]",2
12,OBS,c'est la première fois qu'on filme en deux mille onze et Anaé a ... [media],"[NULL,NULL,NULL]",1
12,OBS,c'est la première fois qu'on filme en deux mille onze et Anaé a ... [media],"[NULL,NULL,NULL]",2
13,OBS,quel âge tu as Anaé ?,"[NULL,NULL,NULL]",1
13,OBS,quel âge tu as Anaé ?,"[NULL,NULL,NULL]",2
14,CHI,quatre ans . [media],"[NULL,NULL,NULL]",1
14,CHI,quatre ans . [media],"[NULL,NULL,NULL]",2
15,OBS,quatre ans et . demi ? [media],"[NULL,NULL,NULL]",1
15,OBS,quatre ans et . demi ? [media],"[NULL,NULL,NULL]",2
16,MOT,[quote] et et et ...,"[NULL,NULL,NULL]",1
16,MOT,[quote] et et et ...,"[NULL,NULL,NULL]",2
17,MOT,juillet ... [media],"[NULL,NULL,NULL]",1
17,MOT,juillet ... [media],"[NULL,NULL,NULL]",2
18,OBS,[quote] quatre ans et demi .,"[NULL,NULL,NULL]",1
18,OBS,[quote] quatre ans et demi .,"[NULL,NULL,NULL]",2
19,MOT,août septembre octobre novembre décembre janvier oui . [media],"[NULL,NULL,NULL]",1
19,MOT,août septembre octobre novembre décembre janvier oui . [media],"[NULL,NULL,NULL]",2
20,OBS,[quote] disons .,"[NULL,NULL,NULL]",1
20,OBS,[quote] disons .,"[NULL,NULL,NULL]",2
21,CHI,[quote] ça c'est pour les escaliers .,"[NULL,NULL,NULL]",1
21,CHI,[quote] ça c'est pour les escaliers .,"[NULL,NULL,NULL]",2
22,MOT,quatre ans et demi pile . [media],"[NULL,NULL,NULL]",1
22,MOT,quatre ans et demi pile . [media],"[NULL,NULL,NULL]",2
23,MOT,alors ça c'est xxx . [media],"[NULL,NULL,NULL]",1
23,MOT,alors ça c'est xxx . [media],"[NULL,NULL,NULL]",2
24,OBS,xxx . [media],"[NULL,NULL,NULL]",1
24,OBS,xxx . [media],"[NULL,NULL,NULL]",2
25,CHI,[quote] il faut des trucs .,"[NULL,NULL,NULL]",1
25,CHI,[quote] il faut des trucs .,"[NULL,NULL,NULL]",2
26,MOT,bah il faut des trucs mais je comprends pas comment ça marche . [media],"[NULL,NULL,NULL]",1
26,MOT,bah il faut des trucs mais je comprends pas comment ça marche . [media],"[NULL,NULL,NULL]",2
27,CHI,il faut d' autres poteaux . [media],"[NULL,NULL,NULL]",1
27,CHI,il faut d' autres poteaux . [media],"[NULL,NULL,NULL]",2
28,MOT,c'est pas grave xxx ça c'est pour mettre sur l'escalier qui monte xxx . [media],"[NULL,NULL,NULL]",1
28,MOT,c'est pas grave xxx ça c'est pour mettre sur l'escalier qui monte xxx . [media],"[NULL,NULL,NULL]",2
29,OBS,voilà . [media],"[NULL,NULL,NULL]",1
29,OBS,voilà . [media],"[NULL,NULL,NULL]",2
30,MOT,un truc comme ça . [media],"[NULL,NULL,NULL]",1
30,MOT,un truc comme ça . [media],"[NULL,NULL,NULL]",2
31,CHI,mais on peut xxx yyy terrain . [media],"[NULL,NULL,NULL]",1
31,CHI,mais on peut xxx yyy terrain . [media],"[NULL,NULL,NULL]",2
32,MOT,attention .,"[NULL,NULL,NULL]",1
32,MOT,attention .,"[NULL,NULL,NULL]",2
33,CHI,\<None\> \<None\> \<None\> \<None\> le terrain il est tombé . [media],"[NULL,NULL,NULL]",1
33,CHI,\<None\> \<None\> \<None\> \<None\> le terrain il est tombé . [media],"[NULL,NULL,NULL]",2
34,MOT,le terrain il est tombé ? [media],"[NULL,NULL,NULL]",1
34,MOT,le terrain il est tombé ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
35,MOT,c'est pas simple hein . [media],"[NULL,NULL,NULL]",1
35,MOT,c'est pas simple hein . [media],"[NULL,NULL,NULL]",2
36,MOT,on va dire qu'on va prendre les personnages regarde . [media],"[NULL,NULL,NULL]",1
36,MOT,on va dire qu'on va prendre les personnages regarde . [media],"[NULL,NULL,NULL]",2
37,OBS,oui mais ça_y_est ça fait une maison elle a pas de toit mais ... [media],"[NULL,NULL,NULL]",1
37,OBS,oui mais ça_y_est ça fait une maison elle a pas de toit mais ... [media],"[NULL,NULL,NULL]",2
38,MOT,regarde tu prends tu prends les ustensiles . [media],"[NULL,NULL,NULL]",1
38,MOT,regarde tu prends tu prends les ustensiles . [media],"[NULL,NULL,NULL]",2
39,OBS,[quote] il pleut pas dedans .,"[NULL,NULL,NULL]",1
39,OBS,[quote] il pleut pas dedans .,"[NULL,NULL,NULL]",2
40,MOT,pourquoi \<interruption question\> [media],"[NULL,NULL,NULL]",1
40,MOT,pourquoi \<interruption question\> [media],"[NULL,NULL,NULL]",2
41,MOT,elle est toute petite cette voiture !,"[NULL,NULL,NULL]",1
41,MOT,elle est toute petite cette voiture !,"[NULL,NULL,NULL]",2
42,MOT,et puis on va enlever la terrasse on va mettre le toit . [media],"[NULL,NULL,NULL]",1
42,MOT,et puis on va enlever la terrasse on va mettre le toit . [media],"[NULL,NULL,NULL]",2
43,MOT,d'accord pendant que \<interruption\> [media],"[NULL,NULL,NULL]",1
43,MOT,d'accord pendant que \<interruption\> [media],"[NULL,NULL,NULL]",2
44,MOT,regarde t as qu'à regarder les accessoires pendant que je mets le toit moi .,"[NULL,NULL,NULL]",1
44,MOT,regarde t as qu'à regarder les accessoires pendant que je mets le toit moi .,"[NULL,NULL,NULL]",2
45,MOT,tu veux bien ? [media],"[NULL,NULL,NULL]",1
45,MOT,tu veux bien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]",2
46,CHI,le toit . [media],"[NULL,NULL,NULL]",1
46,CHI,le toit . [media],"[NULL,NULL,NULL]",2
47,CHI,pourquoi il y a une citrouille ? [media],"[NULL,NULL,NULL]",1
47,CHI,pourquoi il y a une citrouille ? [media],"[NULL,NULL,NULL]",2
48,OBS,hé à ton avis qu'est-ce qu'on pourrait en faire avec cette citrouille ? [media],"[NULL,NULL,NULL]",1
48,OBS,hé à ton avis qu'est-ce qu'on pourrait en faire avec cette citrouille ? [media],"[NULL,NULL,NULL]",2
49,CHI,ah . [media],"[NULL,NULL,NULL]",1
49,CHI,ah . [media],"[NULL,NULL,NULL]",2
50,CHI,Halloween . [media],"[NULL,NULL,NULL]",1
50,CHI,Halloween . [media],"[NULL,NULL,NULL]",2
51,MOT,0. . [media],"[NULL,NULL,NULL]",1
51,MOT,0. . [media],"[NULL,NULL,NULL]",2
52,OBS,[quote] Halloween .,"[NULL,NULL,NULL]",1
52,OBS,[quote] Halloween .,"[NULL,NULL,NULL]",2
53,OBS,on peut décorer . [media],"[NULL,NULL,NULL]",1
53,OBS,on peut décorer . [media],"[NULL,NULL,NULL]",2
54,OBS,0. . [media],"[NULL,NULL,NULL]",1
54,OBS,0. . [media],"[NULL,NULL,NULL]",2
55,MOT,où est-ce que tu veux la mettre ? [media],"[NULL,NULL,NULL]",1
55,MOT,où est-ce que tu veux la mettre ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]",2
56,VIS,est est-ce que je te gêne ? [media],"[NULL,NULL,NULL]",1
56,VIS,est est-ce que je te gêne ? [media],"[NULL,NULL,NULL]",2
57,VIS,je suis sur \<interruption\>,"[NULL,NULL,NULL]",1
57,VIS,je suis sur \<interruption\>,"[NULL,NULL,NULL]",2
58,OBS,[quote] non pas du tout .,"[NULL,NULL,NULL]",1
58,OBS,[quote] non pas du tout .,"[NULL,NULL,NULL]",2
59,VIS,non du tout .,"[NULL,NULL,NULL]",1
59,VIS,non du tout .,"[NULL,NULL,NULL]",2
60,CHI,[quote] ouh la porte elle est déjà ouverte .,"[NULL,NULL,NULL]",1
60,CHI,[quote] ouh la porte elle est déjà ouverte .,"[NULL,NULL,NULL]",2
61,MOT,0. . [media],"[NULL,NULL,NULL]",1
61,MOT,0. . [media],"[NULL,NULL,NULL]",2
62,MOT,hop . [media],"[NULL,NULL,NULL]",1
62,MOT,hop . [media],"[NULL,NULL,NULL]",2
63,MOT,une fenêtre . [media],"[NULL,NULL,NULL]",1
63,MOT,une fenêtre . [media],"[NULL,NULL,NULL]",2
64,CHI,la porte je la ferme . [media],"[NULL,NULL,NULL]",1
64,CHI,la porte je la ferme . [media],"[NULL,NULL,NULL]",2
65,MOT,une autre fenêtre . [media],"[NULL,NULL,NULL]",1
65,MOT,une autre fenêtre . [media],"[NULL,NULL,NULL]",2
66,CHI,une citrouille . [media],"[NULL,NULL,NULL]",1
66,CHI,une citrouille . [media],"[NULL,NULL,NULL]",2
67,CHI,pourquoi t as une lampe ? [media],"[NULL,NULL,NULL]",1
67,CHI,pourquoi t as une lampe ? [media],"[NULL,NULL,NULL]",2
68,MOT,à ton avis . [media],"[NULL,NULL,NULL]",1
68,MOT,à ton avis . [media],"[NULL,NULL,NULL]",2
69,CHI,ben pour faire de la lumière . [media],"[NULL,NULL,NULL]",1
69,CHI,ben pour faire de la lumière . [media],"[NULL,NULL,NULL]",2
70,MOT,ah bah oui . [media],"[NULL,NULL,NULL]",1
70,MOT,ah bah oui . [media],"[NULL,NULL,NULL]",2
71,MOT,sûrement . [media],"[NULL,NULL,NULL]",1
71,MOT,sûrement . [media],"[NULL,NULL,NULL]",2
72,CHI,[quote] il y a une télé pour regarder la télé .,"[NULL,NULL,NULL]",1
