ID,Speaker,utterance,annotation,list-ID
6,CHI,jouer ! [media],"[NULL,NULL,NULL]",1
6,CHI,jouer ! [media],"[NULL,NULL,NULL]",2
7,OBS,aujourd'hui on est le ... [media],"[NULL,NULL,NULL]",1
7,OBS,aujourd'hui on est le ... [media],"[NULL,NULL,NULL]",2
8,OBS,je n sais pas . [media],"[NULL,NULL,NULL]",1
8,OBS,je n sais pas . [media],"[NULL,NULL,NULL]",2
9,OBS,combien juin . [media],"[NULL,NULL,NULL]",1
9,OBS,combien juin . [media],"[NULL,NULL,NULL]",2
10,MOT,vingt euh xxx ... [media],"[NULL,NULL,NULL]",1
10,MOT,vingt euh xxx ... [media],"[NULL,NULL,NULL]",2
11,OBS,[quote] le xxx .,"[NULL,NULL,NULL]",1
11,OBS,[quote] le xxx .,"[NULL,NULL,NULL]",2
12,MOT,[quote] cinq . vingt . vingt quatre ! [media],"[NULL,NULL,NULL]",1
12,MOT,[quote] cinq . vingt . vingt quatre ! [media],"[NULL,NULL,NULL]",2
13,OBS,[quote] vingt quatre ou vingt cinq . vingt quatre juin !,"[NULL,NULL,NULL]",1
13,OBS,[quote] vingt quatre ou vingt cinq . vingt quatre juin !,"[NULL,NULL,NULL]",2
14,OBS,[quote] deux mille dix ! [media],"[NULL,NULL,NULL]",1
14,OBS,[quote] deux mille dix ! [media],"[NULL,NULL,NULL]",2
15,MOT,mai . vingt quatre mai ! [media],"[NULL,NULL,NULL]",1
15,MOT,mai . vingt quatre mai ! [media],"[NULL,NULL,NULL]",2
16,OBS,le vingt quatre mai deux mille dix \<None\> ... [media],"[NULL,NULL,NULL]",1
16,OBS,le vingt quatre mai deux mille dix \<None\> ... [media],"[NULL,NULL,NULL]",2
17,MOT,[quote] 0. .,"[NULL,NULL,NULL]",1
17,MOT,[quote] 0. .,"[NULL,NULL,NULL]",2
18,OBS,[quote] Anaé . aura quatre ans . d dans un mois ... [media],"[NULL,NULL,NULL]",1
18,OBS,[quote] Anaé . aura quatre ans . d dans un mois ... [media],"[NULL,NULL,NULL]",2
19,MOT,[quote] deux \<None\> . [media],"[NULL,NULL,NULL]",1
19,MOT,[quote] deux \<None\> . [media],"[NULL,NULL,NULL]",2
20,OBS,donc elle a . dans deux mois ohlàlà donc elle a trois ans dix mois .,"[NULL,NULL,NULL]",1
20,OBS,donc elle a . dans deux mois ohlàlà donc elle a trois ans dix mois .,"[NULL,NULL,NULL]",2
21,BRO,[quote] maman regarde xxx .,"[NULL,NULL,NULL]",1
21,BRO,[quote] maman regarde xxx .,"[NULL,NULL,NULL]",2
22,OBS,voilà ! [media],"[NULL,NULL,NULL]",1
22,OBS,voilà ! [media],"[NULL,NULL,NULL]",2
23,OBS,et Anaé aujourd'hui je t'ai am une petite maison . pour_que tu joues avec ! [media],"[NULL,NULL,NULL]",1
23,OBS,et Anaé aujourd'hui je t'ai am une petite maison . pour_que tu joues avec ! [media],"[NULL,NULL,NULL]",2
24,MOT,[quote] xxx .,"[NULL,NULL,NULL]",1
24,MOT,[quote] xxx .,"[NULL,NULL,NULL]",2
25,OBS,0. . [media],"[NULL,NULL,NULL]",1
25,OBS,0. . [media],"[NULL,NULL,NULL]",2
26,CHI,0. . hop . [media],"[NULL,NULL,NULL]",1
26,CHI,0. . hop . [media],"[NULL,NULL,NULL]",2
27,MOT,non \<None\> tu verras après \<None\> . [media],"[NULL,NULL,NULL]",1
27,MOT,non \<None\> tu verras après \<None\> . [media],"[NULL,NULL,NULL]",2
28,MOT,va mett tes chaussures . [media],"[NULL,NULL,NULL]",1
28,MOT,va mett tes chaussures . [media],"[NULL,NULL,NULL]",2
29,CHI,[quote] oh !,"[NULL,NULL,NULL]",1
29,CHI,[quote] oh !,"[NULL,NULL,NULL]",2
30,MOT,alors comment ça s'ouvre ? [media],"[NULL,NULL,NULL]",1
30,MOT,alors comment ça s'ouvre ? [media],"[PAR-Initiation:Information-seeking:explanation-based,NULL,NULL]",2
31,CHI,ça s'ouvre regarde ! [media],"[NULL,NULL,NULL]",1
31,CHI,ça s'ouvre regarde ! [media],"[CHI-Response:Answer:with-explanation-low-quality,NULL,NULL]",2
32,MOT,ça s'ouvre par-là tu crois . attends ! [media],"[NULL,NULL,NULL]",1
32,MOT,ça s'ouvre par-là tu crois . attends ! [media],"[PAR-Follow-up:other,NULL,NULL]",2
33,MOT,ah ! [media],"[NULL,NULL,NULL]",1
33,MOT,ah ! [media],"[NULL,NULL,NULL]",2
34,MOT,si on commence à casser le matériel ... [media],"[NULL,NULL,NULL]",1
34,MOT,si on commence à casser le matériel ... [media],"[NULL,NULL,NULL]",2
35,MOT,[quote] alors c'est des tous p personnages hein !,"[NULL,NULL,NULL]",1
35,MOT,[quote] alors c'est des tous p personnages hein !,"[NULL,NULL,NULL]",2
36,MOT,[quote] ça va pas aller . [media],"[NULL,NULL,NULL]",1
36,MOT,[quote] ça va pas aller . [media],"[NULL,NULL,NULL]",2
37,BRO,maman . xxx . [media],"[NULL,NULL,NULL]",1
37,BRO,maman . xxx . [media],"[NULL,NULL,NULL]",2
38,MOT,oui . c'est bon .,"[NULL,NULL,NULL]",1
38,MOT,oui . c'est bon .,"[NULL,NULL,NULL]",2
