ID,Speaker,utterance,annotation,list-ID
259,CHI,la montre à maman ! [media],"[NULL,NULL,NULL]",1
259,CHI,la montre à maman ! [media],"[NULL,NULL,NULL]",2
260,CHI,maman t'apportes ! [media],"[NULL,NULL,NULL]",1
260,CHI,maman t'apportes ! [media],"[NULL,NULL,NULL]",2
261,CHI,yyy non mets pas chaussettes au sale ! [media],"[NULL,NULL,NULL]",1
261,CHI,yyy non mets pas chaussettes au sale ! [media],"[NULL,NULL,NULL]",2
262,FAT,si faut les mettre au sale ! [media],"[NULL,NULL,NULL]",1
262,FAT,si faut les mettre au sale ! [media],"[NULL,NULL,NULL]",2
263,CHI,non mets pas sale ! [media],"[NULL,NULL,NULL]",1
263,CHI,non mets pas sale ! [media],"[NULL,NULL,NULL]",2
264,FAT,"bon , on en mettra d'autres ! [media]","[NULL,NULL,NULL]",1
264,FAT,"bon , on en mettra d'autres ! [media]","[NULL,NULL,NULL]",2
265,CHI,non je mets celles-ci je veux mettre celles-ci ! [media],"[NULL,NULL,NULL]",1
265,CHI,non je mets celles-ci je veux mettre celles-ci ! [media],"[NULL,NULL,NULL]",2
266,FAT,allez viens ! [media],"[NULL,NULL,NULL]",1
266,FAT,allez viens ! [media],"[NULL,NULL,NULL]",2
267,CHI,xxx . [media],"[NULL,NULL,NULL]",1
267,CHI,xxx . [media],"[NULL,NULL,NULL]",2
268,FAT,allez tu lèves les bras ? [media],"[NULL,NULL,NULL]",1
268,FAT,allez tu lèves les bras ? [media],"[NULL,NULL,NULL]",2
269,CHI,www . [media],"[NULL,NULL,NULL]",1
269,CHI,www . [media],"[NULL,NULL,NULL]",2
270,FAT,hé Adrien ! [media],"[NULL,NULL,NULL]",1
270,FAT,hé Adrien ! [media],"[NULL,NULL,NULL]",2
271,FAT,déshabille pas papa ! [media],"[NULL,NULL,NULL]",1
271,FAT,déshabille pas papa ! [media],"[NULL,NULL,NULL]",2
272,FAT,doucement ! [media],"[NULL,NULL,NULL]",1
272,FAT,doucement ! [media],"[NULL,NULL,NULL]",2
273,FAT,hé arrête ! [media],"[NULL,NULL,NULL]",1
273,FAT,hé arrête ! [media],"[NULL,NULL,NULL]",2
274,CHI,non non ! [media],"[NULL,NULL,NULL]",1
274,CHI,non non ! [media],"[NULL,NULL,NULL]",2
275,FAT,t'enlèves le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",1
275,FAT,t'enlèves le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",2
276,FAT,on enlève le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",1
276,FAT,on enlève le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",2
277,FAT,on enlève le slip ? [media],"[NULL,NULL,NULL]",1
277,FAT,on enlève le slip ? [media],"[NULL,NULL,NULL]",2
278,FAT,on enlève le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",1
278,FAT,on enlève le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",2
279,FAT,on enlève le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",1
279,FAT,on enlève le tee_shirt ou le slip ? [media],"[NULL,NULL,NULL]",2
280,FAT,doucement ! [media],"[NULL,NULL,NULL]",1
280,FAT,doucement ! [media],"[NULL,NULL,NULL]",2
281,CHI,aïe ! [media],"[NULL,NULL,NULL]",1
281,CHI,aïe ! [media],"[NULL,NULL,NULL]",2
282,FAT,tu fais quoi tu fais guili à papa ? [media],"[NULL,NULL,NULL]",1
282,FAT,tu fais quoi tu fais guili à papa ? [media],"[NULL,NULL,NULL]",2
283,FAT,"aïe , ah non tu griffes , attends ! [media]","[NULL,NULL,NULL]",1
283,FAT,"aïe , ah non tu griffes , attends ! [media]","[NULL,NULL,NULL]",2
284,CHI,guili guili ! [media],"[NULL,NULL,NULL]",1
284,CHI,guili guili ! [media],"[NULL,NULL,NULL]",2
285,FAT,"ah non là c'est gratte gratte , tu griffes ! [media]","[NULL,NULL,NULL]",1
285,FAT,"ah non là c'est gratte gratte , tu griffes ! [media]","[NULL,NULL,NULL]",2
286,CHI,guili guili ! [media],"[NULL,NULL,NULL]",1
286,CHI,guili guili ! [media],"[NULL,NULL,NULL]",2
287,CHI,guili guili ! [media],"[NULL,NULL,NULL]",1
287,CHI,guili guili ! [media],"[NULL,NULL,NULL]",2
288,CHI,guili guili ! [media],"[NULL,NULL,NULL]",1
288,CHI,guili guili ! [media],"[NULL,NULL,NULL]",2
289,CHI,guili guili ! [media],"[NULL,NULL,NULL]",1
289,CHI,guili guili ! [media],"[NULL,NULL,NULL]",2
290,FAT,guili guili ? [media],"[NULL,NULL,NULL]",1
290,FAT,guili guili ? [media],"[NULL,NULL,NULL]",2
291,FAT,"allez on va se dé , on va se doucher ? [media]","[NULL,NULL,NULL]",1
291,FAT,"allez on va se dé , on va se doucher ? [media]","[NULL,NULL,NULL]",2
292,CHI,non ! [media],"[NULL,NULL,NULL]",1
292,CHI,non ! [media],"[NULL,NULL,NULL]",2
293,FAT,si ! [media],"[NULL,NULL,NULL]",1
293,FAT,si ! [media],"[NULL,NULL,NULL]",2
294,CHI,non ! [media],"[NULL,NULL,NULL]",1
294,CHI,non ! [media],"[NULL,NULL,NULL]",2
295,FAT,si . [media],"[NULL,NULL,NULL]",1
295,FAT,si . [media],"[NULL,NULL,NULL]",2
296,CHI,non ! [media],"[NULL,NULL,NULL]",1
296,CHI,non ! [media],"[NULL,NULL,NULL]",2
297,FAT,si . [media],"[NULL,NULL,NULL]",1
297,FAT,si . [media],"[NULL,NULL,NULL]",2
298,CHI,non ! [media],"[NULL,NULL,NULL]",1
298,CHI,non ! [media],"[NULL,NULL,NULL]",2
299,FAT,pourquoi ? [media],"[NULL,NULL,NULL]",1
299,FAT,pourquoi ? [media],"[NULL,NULL,NULL]",2
300,CHI,x pas doucher ! [media],"[NULL,NULL,NULL]",1
300,CHI,x pas doucher ! [media],"[NULL,NULL,NULL]",2
301,FAT,et pourquoi ? [media],"[NULL,NULL,NULL]",1
301,FAT,et pourquoi ? [media],"[NULL,NULL,NULL]",2
302,CHI,xxx . [media],"[NULL,NULL,NULL]",1
302,CHI,xxx . [media],"[NULL,NULL,NULL]",2
303,FAT,de quoi ? [media],"[NULL,NULL,NULL]",1
303,FAT,de quoi ? [media],"[NULL,NULL,NULL]",2
304,CHI,yyy dans la maison ! [media],"[NULL,NULL,NULL]",1
304,CHI,yyy dans la maison ! [media],"[NULL,NULL,NULL]",2
305,FAT,j'ai rien compris ! [media],"[NULL,NULL,NULL]",1
305,FAT,j'ai rien compris ! [media],"[NULL,NULL,NULL]",2
306,CHI,yyy maison maman papa ! [media],"[NULL,NULL,NULL]",1
306,CHI,yyy maison maman papa ! [media],"[NULL,NULL,NULL]",2
307,FAT,t'es dans la maison de papa et maman ? [media],"[NULL,NULL,NULL]",1
307,FAT,t'es dans la maison de papa et maman ? [media],"[NULL,NULL,NULL]",2
308,FAT,"et alors , il faut se doucher ! [media]","[NULL,NULL,NULL]",1
308,FAT,"et alors , il faut se doucher ! [media]","[NULL,NULL,NULL]",2
309,CHI,non je pas doucher yyy maman papa ! [media],"[NULL,NULL,NULL]",1
309,CHI,non je pas doucher yyy maman papa ! [media],"[NULL,NULL,NULL]",2
310,FAT,"tu veux pas te doucher chez papa et maman , tu veux te doucher où alors ? [media]","[NULL,NULL,NULL]",1
310,FAT,"tu veux pas te doucher chez papa et maman , tu veux te doucher où alors ? [media]","[NULL,NULL,NULL]",2
311,FAT,tu veux te doucher à l'école ? [media],"[NULL,NULL,NULL]",1
311,FAT,tu veux te doucher à l'école ? [media],"[NULL,NULL,NULL]",2
312,CHI,oui ! [media],"[NULL,NULL,NULL]",1
312,CHI,oui ! [media],"[NULL,NULL,NULL]",2
313,FAT,"ben tu rigoles , tu vas pas te doucher à l'école ! [media]","[NULL,NULL,NULL]",1
313,FAT,"ben tu rigoles , tu vas pas te doucher à l'école ! [media]","[NULL,NULL,NULL]",2
314,CHI,si ! [media],"[NULL,NULL,NULL]",1
314,CHI,si ! [media],"[NULL,NULL,NULL]",2
315,FAT,il y a pas de quoi se doucher ! [media],"[NULL,NULL,NULL]",1
315,FAT,il y a pas de quoi se doucher ! [media],"[NULL,NULL,NULL]",2
316,FAT,"allez Adrien , je compte jusqu'à trois et on enlève le tee_shirt ! [media]","[NULL,NULL,NULL]",1
316,FAT,"allez Adrien , je compte jusqu'à trois et on enlève le tee_shirt ! [media]","[NULL,NULL,NULL]",2
317,FAT,"non , ça on fait pas Adrien ! [media]","[NULL,NULL,NULL]",1
